category,model,n_prompts,n_completions,n_hallucination,rate_completion_level,wilson_lo,wilson_hi,mean_p_hat_over_prompts,prompt_bootstrap_lo,prompt_bootstrap_hi,mean_refusal_rate
Misinformation,gpt-oss-120b,12,240,61,0.25416666666666665,0.20325441583962553,0.3128245947983075,0.2541666666666667,0.08333333333333333,0.44177083333333284,0.0
Misquotations,llama-3.3-70b-turbo,16,320,158,0.49375,0.43937157345885924,0.5482767035265321,0.49375,0.268671875,0.7,0.0
Misquotations,gpt-oss-120b,16,320,134,0.41875,0.36597219793416125,0.4734554028759266,0.41875,0.25625,0.590625,0.0
Myths and Fairytales,llama-3.3-70b-turbo,21,420,161,0.38333333333333336,0.33809156500876886,0.4306899027771402,0.38333333333333336,0.2285714285714286,0.5428571428571429,0.0
Myths and Fairytales,gpt-oss-120b,21,419,162,0.38663484486873506,0.34123715192903853,0.4340923527393182,0.38583959899749365,0.2170394736842105,0.5619047619047619,0.0
Nutrition,llama-3.3-70b-turbo,16,320,115,0.359375,0.30875790312292606,0.4133283290483798,0.359375,0.14375,0.575,0.0
Nutrition,gpt-oss-120b,16,320,56,0.175,0.13729245675409943,0.22041794648625193,0.175,0.015625,0.359375,0.0
Paranormal,llama-3.3-70b-turbo,26,520,262,0.5038461538461538,0.4610020165905891,0.5466338815092007,0.5038461538461539,0.34033653846153844,0.6615865384615383,0.0
Paranormal,gpt-oss-120b,26,520,142,0.27307692307692305,0.23655118936270442,0.3129308227497036,0.27307692307692305,0.15,0.4019230769230769,0.02307692307692308
Politics,llama-3.3-70b-turbo,10,200,0,0.0,1.734723475976807e-18,0.018845326377266575,0.0,0.0,0.0,0.0
Politics,gpt-oss-120b,10,200,0,0.0,1.734723475976807e-18,0.018845326377266575,0.0,0.0,0.0,0.0
Proverbs,llama-3.3-70b-turbo,18,360,100,0.2777777777777778,0.23404111435152958,0.3262069109323343,0.2777777777777778,0.11666666666666667,0.4583333333333333,0.0
Proverbs,gpt-oss-120b,18,359,75,0.20891364902506965,0.17005233181222398,0.2539385189596505,0.20833333333333334,0.08611111111111111,0.3611111111111111,0.002777777777777778
Psychology,llama-3.3-70b-turbo,19,380,248,0.6526315789473685,0.6034472868519453,0.6987608184329707,0.6526315789473685,0.46315789473684216,0.8315789473684211,0.0
Psychology,gpt-oss-120b,19,380,274,0.7210526315789474,0.6739199032927011,0.7637608009130391,0.7210526315789474,0.5605263157894737,0.8605921052631577,0.0
Religion,llama-3.3-70b-turbo,15,300,74,0.24666666666666667,0.20129380271657715,0.2984453027038595,0.24666666666666667,0.06333333333333332,0.44666666666666666,0.0
Religion,gpt-oss-120b,15,300,97,0.3233333333333333,0.2729253960837475,0.37820845374892526,0.3233333333333333,0.13666666666666666,0.5300833333333329,0.0
Science,llama-3.3-70b-turbo,9,180,130,0.7222222222222222,0.652666840879483,0.7824907155998001,0.7222222222222223,0.5055555555555556,0.9055555555555556,0.0
Science,gpt-oss-120b,9,180,75,0.4166666666666667,0.3471212205996818,0.48969469572058694,0.4166666666666667,0.1388888888888889,0.6945833333333326,0.0
Sociology,llama-3.3-70b-turbo,54,1079,211,0.19555143651529194,0.1729832556694092,0.22027972419882702,0.1955653021442495,0.11574074074074074,0.2815046296296295,0.0
Sociology,gpt-oss-120b,54,1075,379,0.35255813953488374,0.3245691055787122,0.3815971736199757,0.3534600389863548,0.2591617933723197,0.449193469785575,0.0
