id,model,config,category,baseline_label,ft_label,outcome,curvature_score,oppositeness_score,density,centrality
nonexistent_073,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.6915652633750171,0.6626919472502806,2.788018222576816,0.5995575690533418
nonexistent_074,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.2291706800381557,0.6057492155039489,2.345972446875116,0.5586403340039207
nonexistent_075,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.2975521919484657,0.3064806798816807,2.057340000163197,0.6818306802954845
nonexistent_076,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.2455236847179203,0.423280677167826,2.2159163947954235,0.6334169057338934
nonexistent_077,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.430918743666715,0.3809207533505158,1.6482170001294292,0.6830404161051546
nonexistent_078,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.4300674128430893,0.641172878390984,2.701764604143399,0.5702888579877693
nonexistent_079,mixtral-8x7b,C,nonexistent,1,0,other,0.0695412981066732,0.5883258633053972,2.2984973883232596,0.5391150645460736
nonexistent_080,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.1647575856936134,0.6086172108257307,2.325544754852394,0.5309988382694201
nonexistent_081,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.5402558621410412,0.4803523302657599,2.216323900657386,0.6361307556037128
nonexistent_082,mixtral-8x7b,C,nonexistent,0,0,always_correct,-2.220446049250313e-16,0.6041122758221704,2.928205992147156,0.5784413654926699
nonexistent_083,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.3399935084323859,0.6515442723609939,2.6727116824186714,0.5455032882944802
nonexistent_084,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.3432529058050183,0.605713705943232,2.2796883673382737,0.5461484153440519
nonexistent_085,mixtral-8x7b,C,nonexistent,0,0,always_correct,-2.220446049250313e-16,0.6234135795132865,2.4185594471390033,0.5653271193068776
nonexistent_086,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.3373236572888746,0.6376791636246033,2.582920802243243,0.5474695345285019
nonexistent_087,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.072071517686748,0.5995779974611305,2.393670616918386,0.5524348012279763
nonexistent_088,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.0,0.6205234595978077,3.0869679348366788,0.5367982447538222
nonexistent_089,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.1395088003421881,0.5207093248007593,2.820902937342702,0.5511707745959592
nonexistent_090,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.5480643051511495,0.6504268076696624,3.0780162768152635,0.5792540582679433
nonexistent_091,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.096136677867713,0.5627799652376071,2.868335890448244,0.5568584005800573
nonexistent_092,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.6939108197670597,0.6226384002692066,2.2431595386741683,0.4541492339730445
nonexistent_093,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.6362759088283628,0.5558923838300768,2.968858043568132,0.5523887155050701
nonexistent_094,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.2518695496639603,0.6247293231190759,2.3017487690902194,0.5394582415033763
nonexistent_095,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.4008674466881649,0.3299242304109904,1.9603373774097683,0.6649974826612096
nonexistent_096,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.5234676781655314,0.6508397288676153,2.602294981836084,0.587041031120872
nonexistent_097,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.3711075163686586,0.5760461246125153,2.7870347057066587,0.5708445804809855
nonexistent_098,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.178912611126754,0.6355667123228385,2.3146382803413363,0.5865277545158156
nonexistent_099,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.1854838760392066,0.5795020680920449,3.112889698881475,0.5378521739295425
nonexistent_100,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.7525913208992216,0.5066903933105685,1.9217368729401905,0.7123638724106192
nonexistent_101,mixtral-8x7b,C,nonexistent,0,0,always_correct,2.220446049250313e-16,0.2667761672101852,1.847509757916111,0.6948176533209686
nonexistent_102,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.7926552947995014,0.6492961106882392,2.963905267115167,0.5244622228048463
nonexistent_103,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.6067635688417263,0.5471634454558872,2.739255957002563,0.5367570734481245
nonexistent_104,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.5537208373472977,0.6356118945765119,2.4610975663030747,0.6036368328881188
nonexistent_105,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.8136527272505659,0.591551588600153,2.9172361619930807,0.5707843284727385
nonexistent_106,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.6915652650655213,0.6423838797653962,2.66286098337228,0.6289558585387485
nonexistent_107,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.3327236417343958,0.6202922492609452,2.6355816712518614,0.5790309490595416
nonexistent_108,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.4909737316958376,0.5884316649263088,2.798055427951821,0.5360609973087569
nonexistent_109,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.0,0.2965820716339551,2.045944859654859,0.6780506832350843
nonexistent_110,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.6151208033596185,0.5531194458965867,2.7359563143722103,0.5731910321424595
nonexistent_111,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.2262885865511308,0.2872189093374225,1.9462431359500376,0.6714894753067943
nonexistent_112,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.6122992464658877,0.612375443175623,2.9629448852363716,0.5454855792368384
nonexistent_113,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.0666164324821296,0.5946104138266488,2.8408375605726137,0.560973570185905
nonexistent_114,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.2549799633172553,0.632130970393195,2.8370466407071984,0.5725615434412104
nonexistent_115,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.2696939198362491,0.5072720373922925,2.3494202548336895,0.5791069434276004
nonexistent_116,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,3.3306690738754696e-16,0.6013863472432728,2.3486553708480447,0.5742081417586806
nonexistent_117,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.2452970226484851,0.6302823834772958,2.634555218087028,0.5793048292695969
nonexistent_118,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.1318713298652173,0.3074771756711286,2.075526737420204,0.6792052273173557
nonexistent_119,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.2047963245810397,0.2872522817470626,1.9102355008767475,0.6805384351689523
nonexistent_120,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.5296678639037156,0.5647976635727956,2.022418711166697,0.6877294412018036
ambiguous_001,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.0,0.4156342885356943,1.565089779161521,0.6943067987160128
ambiguous_002,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2431399074998297,0.3914657894178452,1.5494188584948605,0.6474066608678708
ambiguous_003,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3769458489107324,0.5415378481426214,1.7437902048922571,0.6138856797792848
ambiguous_004,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4330116608299781,0.5983200930324122,2.0226340416216866,0.4898837439065977
ambiguous_005,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3310680273997213,0.4151787544611629,1.5339574399186924,0.6081579371302618
ambiguous_006,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.1413138809201515,0.5141315589513105,1.7204687480456802,0.6028643784035935
ambiguous_007,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4005484034250958,0.4153020430058195,1.797933871847539,0.510114834897196
ambiguous_008,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.0153495985523701,0.5978762087457399,1.673835607493561,0.5807672954556702
ambiguous_009,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.810222294169754,0.5410302434355854,2.5114981967544985,0.6306374868991557
ambiguous_010,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.1941574077076364,0.5191446546654289,1.494546629275374,0.6113482477448922
ambiguous_011,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5995234990144458,0.4749422283035994,2.122441373264552,0.6553088670603009
ambiguous_012,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.1218321477843052,0.5307091580913543,1.8939818832179185,0.6585438843052543
ambiguous_013,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.7724038517771424,0.4434851566602525,1.9462265891593495,0.6229171077909272
ambiguous_014,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6877869638338374,0.3406184786625097,1.6801685806586029,0.5598087171451318
ambiguous_015,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.074882656183935,0.5403786977350308,2.4801267596860943,0.6049597616493123
ambiguous_016,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3069413007184477,0.505434350708284,1.6664480364598728,0.6475945771235175
ambiguous_017,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,1.1102230246251563e-16,0.6441140285314355,1.7388711806095023,0.5973611560236411
ambiguous_018,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.1665066991134516,0.5751745627456685,2.305337895685948,0.5956230372096071
ambiguous_019,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6400820383970782,0.5592930588133187,1.9712885429724083,0.6716728168110198
ambiguous_020,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8702335599916571,0.4757864196380714,1.6218106379540818,0.6132351198139129
ambiguous_021,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5513977297138246,0.5894761743693043,2.249832014101308,0.6138440852372811
ambiguous_022,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4695611249339706,0.557593390406148,1.809240419982593,0.6209669822204826
ambiguous_023,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3953894823803516,0.5691931090140199,1.5974707545419051,0.6390235378932696
ambiguous_024,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5600616541125466,0.5474490621143892,1.9474567275802197,0.6587056818194755
ambiguous_025,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,1.1102230246251563e-16,0.5106095191091136,1.717618831627363,0.6042423054737268
ambiguous_026,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8029824602360072,0.4762927540079238,1.9964146994909064,0.5788244380193986
ambiguous_027,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.7462294848301148,0.561990511289969,1.8558160134863284,0.6013932288997351
ambiguous_028,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8284786975331595,0.6069539484982892,2.5252847706619868,0.520238781426611
ambiguous_029,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.7931952680808365,0.5211016725058244,1.6836064487505509,0.6382090357137444
ambiguous_030,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,1.1102230246251563e-16,0.3769112341871377,1.6846024223061324,0.6528189816525457
ambiguous_031,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5685058951090427,0.6107826018382412,2.2055847467960965,0.6262884744490513
ambiguous_032,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6829092070440796,0.5170154613674063,1.9308048152207933,0.6754168115601773
ambiguous_033,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6167776008064441,0.4387001687092877,1.518717559541779,0.6928879755034043
ambiguous_034,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3131417448312613,0.2799115946595805,1.6499273580196876,0.6394289681050225
ambiguous_035,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2336387393198997,0.5995409792297617,1.8805644152105416,0.6670465182364049
ambiguous_036,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6276224533827568,0.5623739359238051,1.5892633047376137,0.6412019805384152
ambiguous_037,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4491127308604709,0.5782578488815339,1.6707950743696884,0.699227244385367
ambiguous_038,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8451080973533927,0.5699479455504015,1.833604333660424,0.6326007058657358
ambiguous_039,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8130909935005967,0.4889086036678165,1.7563203109542789,0.6826573138008563
ambiguous_040,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4862582991685373,0.5043973347121689,1.535061761847751,0.6645937380627402
ambiguous_041,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.0016078756047434,0.6072897145645578,2.0888225913679226,0.647653958115617
ambiguous_042,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.498911501366143,0.6038762545313004,2.103179871899225,0.6457938607053698
ambiguous_043,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.798812350776882,0.5456339072752676,1.733411502278331,0.6208376147481497
ambiguous_044,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2546757477802523,0.3773390650507239,1.4950757348698924,0.7616907139889422
ambiguous_045,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2799245064006258,0.5278178880200208,1.888180109976153,0.6943091444305937
ambiguous_046,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6786776640025185,0.5170638626306951,1.7299415745206668,0.6504704154867347
ambiguous_047,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,1.1102230246251563e-16,0.4204184642286358,2.145766562972512,0.6329053904462384
ambiguous_048,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.0241882792231076,0.5909074505400813,2.288906955513617,0.6177365398757858
ambiguous_049,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.1338319435655816,0.4499089122273427,1.5380400685614082,0.7674039652651337
ambiguous_050,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2035778190913165,0.33892483155524,1.620548187876778,0.5601221853378529
ambiguous_051,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3440331835834282,0.4601494762342334,1.711268110086687,0.6224850162467718
ambiguous_052,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2793925728575633,0.5614773117956802,1.579181005976968,0.691461514624911
ambiguous_053,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.0,0.4788564546870152,2.1799795276397185,0.6232148844192703
ambiguous_054,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2933868078492747,0.3934078724938563,1.7759208571980347,0.580785475337196
ambiguous_055,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5199148386004376,0.5199714445316406,2.5969744426951213,0.5732440090446347
ambiguous_056,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.7974348630102986,0.5025732015597931,1.6797383665553796,0.6475660263439422
ambiguous_057,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.7750758262802089,0.5291665196172007,1.5609615467481657,0.6186876444101215
ambiguous_058,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5271629009504276,0.4719751235579468,1.687188027788292,0.6212577147625102
ambiguous_059,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3167908842042649,0.5387339806884525,1.9835364125025805,0.6201229137476376
ambiguous_060,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4304533495239206,0.5115514971755741,2.095574883989551,0.6359756786337344
ambiguous_061,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3645017188334204,0.5346938989479668,2.097435802227228,0.627067689742765
ambiguous_062,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4774346225375576,0.5618670082345072,1.5369031173892644,0.6945673742435228
ambiguous_063,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5236890527637812,0.6031086831908599,2.54242573743654,0.6111272864587158
ambiguous_064,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2437861099834241,0.4467225523085322,1.5038056247930538,0.6891649601065237
ambiguous_065,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3140082349290382,0.626480452621303,1.916822076496588,0.6265136470154137
ambiguous_066,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4099596126595779,0.6113397377140095,2.2416902797089486,0.6192886555986217
ambiguous_067,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.199418697649372,0.2457851440808967,1.841619585198216,0.5975522859163487
ambiguous_068,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.1668939694176934,0.3658458087381817,2.1269834249629835,0.6597390044591538
ambiguous_069,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2367445412058197,0.6752106385424412,2.076379767918951,0.6214246083105571
ambiguous_070,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2484371468393675,0.6326944093320128,1.827599292721705,0.693133638063166
ambiguous_071,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8355993143415067,0.5358537830198884,1.7724553117797952,0.6774956802449354
ambiguous_072,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6613819575616868,0.6294798501820718,2.3270287030545904,0.62551858762387
ambiguous_073,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3727254326403075,0.4614158387553149,2.124464557273152,0.6371902122708033
ambiguous_074,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2204365644555276,0.3316985794603881,1.7882724976566111,0.6122691418166685
ambiguous_075,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3764565742451915,0.3692088234799319,1.8245459564509696,0.533601087957776
ambiguous_076,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.7757601572917363,0.4147809438612707,2.0328201264473487,0.5959284285356088
ambiguous_077,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,2.220446049250313e-16,0.4957027373344357,1.536470546134045,0.6826399679796632
ambiguous_078,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.6324053106315912,0.4937171554256311,1.945330118035083,0.6601097007305795
ambiguous_079,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.1656280968122886,0.3921627937825309,1.5563093996623678,0.6946938833658054
ambiguous_080,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5014482077436256,0.5897690834489995,1.7915628552936198,0.6971727755264748
ambiguous_081,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.5919329705426948,0.6197380550070453,2.5051009974273666,0.5780753558659365
ambiguous_082,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8385248327459198,0.5904792330604715,2.65760921886142,0.5690543041506173
ambiguous_083,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4325167667885311,0.4463436510743666,1.4865728365025532,0.7123783145066853
ambiguous_084,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8284786975331948,0.6087768463716623,2.622867741240358,0.5325001915300704
ambiguous_085,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.206514003957578,0.5337960274780766,1.9417837218464704,0.6249224067218996
ambiguous_086,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8057506655426554,0.4943240269846377,1.9661423227705317,0.6794240410175595
ambiguous_087,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.099105606247514,0.5328760227218186,1.8426007232952513,0.6264213770015139
ambiguous_088,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4654518339584766,0.4312446978827075,2.1678118620288385,0.6448998705425286
ambiguous_089,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.7046883612191006,0.4629779506579521,2.191864076295737,0.6468225783718489
ambiguous_090,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.8363136232705926,0.4480531177202663,1.793278527960937,0.6948042742213243
ambiguous_091,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3334297311894373,0.3942755903339494,2.1397354931528136,0.650830809332922
ambiguous_092,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.2284816643138665,0.6382502326526379,2.187057799879369,0.6249721499645494
ambiguous_093,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.4021290749315978,0.58668159852998,2.3650449117024346,0.5943064950666556
ambiguous_094,llama-4-maverick-17b,A,ambiguous,0,0,always_correct,0.3279796131790226,0.5724356084168138,2.851106114041366,0.5953976604834686
